subject,stimtype,task,s,contrast_id,Chat,g,tf,resp,rt,C
1,grate,A,-6.49401,5,-1,1,1,4,0.867321,-1
1,grate,A,2.88051,4,-1,1,0,4,0.963997,1
1,grate,A,2.65205,4,1,1,1,5,1.04093,1
1,grate,A,4.14707,5,1,1,1,5,1.13096,1
1,grate,A,10.0775,5,1,1,1,5,1.15293,1
1,grate,A,3.43348,6,1,1,1,5,1.0144,1
1,grate,A,3.39462,2,1,1,0,5,1.52122,-1
1,grate,A,-10.6467,4,-1,1,1,4,0.759642,-1
1,grate,A,-1.74076,1,-1,1,1,4,1.61216,-1
1,grate,A,3.61715,4,-1,1,1,4,1.88759,-1
1,grate,A,-3.03717,2,-1,1,1,4,1.1754,-1
1,grate,A,-1.11283,4,-1,1,1,4,1.10037,-1
1,grate,A,-0.186786,6,-1,1,0,4,1.17174,1
1,grate,A,-3.58916,3,-1,1,1,4,1.00039,-1
1,grate,A,-4.60033,6,-1,1,0,4,1.1718,1
1,grate,A,3.36871,3,1,1,1,5,3.5763,1
1,grate,A,2.01837,1,1,1,1,5,1.13224,1
1,grate,A,-4.62557,6,1,1,0,5,0.689938,-1
1,grate,A,-5.30916,6,-1,1,1,4,0.826324,-1
1,grate,A,-2.20869,1,-1,1,1,4,0.636208,-1
1,grate,A,-3.58975,6,1,1,0,5,0.854264,-1
1,grate,A,-0.900332,3,-1,1,0,4,1.59133,1
1,grate,A,-8.17592,6,1,1,0,5,0.683219,-1
1,grate,A,-5.40589,6,1,1,0,5,1.09152,-1
1,grate,A,-8.81206,6,-1,1,1,4,1.78743,-1
1,grate,A,-0.137381,4,1,1,1,5,1.12716,1
1,grate,A,-5.76866,2,-1,1,1,4,0.724583,-1
1,grate,A,-5.56811,3,-1,1,0,4,1.13163,1
1,grate,A,-3.12183,5,1,1,1,5,0.993219,1
1,grate,A,-5.89205,6,1,1,0,5,0.909222,-1
1,grate,A,7.75484,4,1,1,1,5,0.860857,1
1,grate,A,0.173453,3,1,1,0,5,1.94986,-1
1,grate,A,3.78032,3,1,1,1,5,0.803395,1
1,grate,A,7.77083,3,1,1,1,5,0.710715,1
1,grate,A,11.0298,5,1,1,1,5,0.87784,1
1,grate,A,2.39372,2,1,1,1,5,0.94254,1
1,grate,A,-7.76684,3,-1,1,0,4,0.68446,1
1,grate,A,-2.9889,1,-1,1,0,4,0.628368,1
1,grate,A,5.95596,5,1,1,1,5,1.45537,1
1,grate,A,7.12581,2,1,1,1,5,0.55262,1
1,grate,A,-17.5066,2,-1,3,1,2,0.805906,-1
1,grate,A,10.155,6,1,1,1,5,2.32916,1
1,grate,A,13.9391,2,1,2,1,6,0.975846,1
1,grate,A,6.85571,4,1,1,1,5,0.796585,1
1,grate,A,-9.45419,5,-1,1,1,4,0.960639,-1
1,grate,A,-8.4278,2,-1,2,1,3,1.46954,-1
1,grate,A,7.17009,6,-1,1,1,4,1.75051,-1
