subject_name,task,block_type,stim_type,stim_category,stim_orientation,stim_cue_validity,stim_cue_validity_id,resp_confidence,resp_correct,resp_category,resp_rt
hsv,B,Test,grate,1,-9.307624205565448,0,2,1,1,1,1.7083340380340815
hsv,B,Test,grate,1,-3.0022277111113596,1,1,3,0,-1,0.715210629045032
hsv,B,Test,grate,-1,-0.31209584357976494,1,1,3,1,-1,0.656097122002393
hsv,B,Test,grate,1,3.006460444830135,1,1,4,0,-1,0.663545741001144
hsv,B,Test,grate,1,-6.771379322560606,1,1,2,1,1,3.236912701977417
hsv,B,Test,grate,-1,-0.5705673652728526,1,1,2,1,-1,0.588762619998306
hsv,B,Test,grate,-1,-4.7853657848295335,1,1,2,1,-1,1.1810422869748436
hsv,B,Test,grate,1,-26.00719768741333,1,1,4,1,1,0.4799319379962981
hsv,B,Test,grate,-1,3.0620261096085475,1,1,2,1,-1,0.9910428329603747
hsv,B,Test,grate,-1,-5.321976940727896,1,1,2,1,-1,1.5478014450054616
hsv,B,Test,grate,1,4.546345006401239,0,2,2,0,-1,1.440025844029151
hsv,B,Test,grate,-1,-2.060101980889222,1,1,2,1,-1,0.40659141598735005
hsv,B,Test,grate,-1,-0.5420452089554225,1,1,3,1,-1,0.5538855060003698
hsv,B,Test,grate,-1,-1.9713940827760887,-1,3,2,1,-1,1.3738886850187555
hsv,B,Test,grate,-1,4.176570935496405,0,2,2,0,1,1.2703780049923807
hsv,B,Test,grate,-1,-2.07876107033179,1,1,2,0,1,1.7942550339503214
hsv,B,Test,grate,-1,-4.005507843179682,-1,3,2,0,1,1.490079078997951
hsv,B,Test,grate,1,7.153625343792658,1,1,2,0,-1,0.7442121460335329
hsv,B,Test,grate,1,-6.88634957566067,-1,3,1,1,1,2.241985712957103
hsv,B,Test,grate,1,12.351092615915809,-1,3,2,1,1,2.1198080730391666
hsv,B,Test,grate,1,15.785504655996611,0,2,4,1,1,1.0277244210010394
hsv,B,Test,grate,1,0.3303982525642011,1,1,4,0,-1,1.328271072008647
hsv,B,Test,grate,1,4.053442671395099,1,1,2,1,1,1.2934592370293103
hsv,B,Test,grate,-1,1.2130959274426736,1,1,3,1,-1,0.6409497109707445
hsv,B,Test,grate,1,-1.7788555180209662,1,1,4,0,-1,0.5828960500075482
hsv,B,Test,grate,-1,-4.144589537618623,-1,3,2,0,1,1.8402686410117894
hsv,B,Test,grate,1,-7.86484242812797,1,1,2,0,-1,1.0445912670111284
hsv,B,Test,grate,-1,2.6408950997977008,-1,3,2,1,-1,1.4008525629760697
hsv,B,Test,grate,1,19.479414347541134,0,2,4,1,1,0.8013806859962642
hsv,B,Test,grate,1,-5.65150681382331,-1,3,2,0,-1,1.6867755049606785
hsv,B,Test,grate,1,3.2782601095685724,1,1,2,0,-1,0.9629093449912034
hsv,B,Test,grate,1,3.1256773347463596,1,1,2,0,-1,0.5395036319969222
hsv,B,Test,grate,1,-0.8729447373136769,1,1,3,0,-1,0.3788895800244063
hsv,B,Test,grate,1,2.918315892988328,1,1,4,0,-1,0.37738771399017423
hsv,B,Test,grate,1,-4.70327986632889,1,1,4,0,-1,0.5701717490446754
hsv,B,Test,grate,1,13.684870450241828,1,1,3,1,1,0.6426114089554176
hsv,B,Test,grate,1,-29.125301582447413,1,1,4,1,1,0.7806035610265099
hsv,B,Test,grate,1,-2.367576322053641,1,1,4,0,-1,0.5308705099741928
hsv,B,Test,grate,1,3.9841392756484444,1,1,3,0,-1,0.9503192649572156
hsv,B,Test,grate,1,19.279211575729093,1,1,4,1,1,0.37859782797750086
hsv,B,Test,grate,-1,-1.026668624639471,1,1,3,1,-1,0.42211321904323995
hsv,B,Test,grate,1,5.27534705698325,1,1,2,1,1,1.052168830006849
